model,model_category,dataset,max_tokens,n_questions,initial_accuracy,post_hint_accuracy,n_incorrect_initial,n_corrected,correction_rate,delta_accuracy,initial_tokens_mean,hint_tokens_mean,post_hint_tokens_mean
DeepSeek-R1-Distill-Llama-8B,Reasoning,ar_lsat,max1536,230,0.3130434782608696,0.40869565217391307,158,22,0.13924050632911392,0.09565217391304348,2165.9347826086955,2753.5064935064934,2019.2207792207791
DeepSeek-R1-Distill-Llama-8B,Reasoning,ar_lsat,max2048,230,0.4,0.5130434782608696,138,26,0.18840579710144928,0.11304347826086958,2873.439130434783,3462.625,2797.5729166666665
DeepSeek-R1-Distill-Llama-8B,Reasoning,ar_lsat,max256,230,0.021739130434782608,0.021739130434782608,225,0,0.0,0.0,268.1434782608696,419.09090909090907,269.54545454545456
DeepSeek-R1-Distill-Llama-8B,Reasoning,ar_lsat,max512,230,0.0391304347826087,0.043478260869565216,221,1,0.004524886877828055,0.0043478260869565175,555.6434782608695,836.7777777777778,672.5555555555555
DeepSeek-R1-Distill-Llama-8B,Reasoning,asdiv,max1024,2023,0.9105289174493326,0.9639149777558083,181,108,0.5966850828729282,0.053386060306475636,215.17301038062283,290.99435028248587,283.9265536723164
DeepSeek-R1-Distill-Llama-8B,Reasoning,asdiv,max1536,2023,0.9080573405832921,0.9688581314878892,186,123,0.6612903225806451,0.06080079090459711,225.70934256055364,319.29834254143645,285.41988950276243
DeepSeek-R1-Distill-Llama-8B,Reasoning,asdiv,max2048,2023,0.9154720711814137,0.9658922392486406,171,102,0.5964912280701754,0.050420168067226934,222.75135936727634,355.22352941176473,313.56470588235294
DeepSeek-R1-Distill-Llama-8B,Reasoning,asdiv,max256,2023,0.8235294117647058,0.8576371725160653,357,69,0.19327731092436976,0.03410776075135946,201.71131982204648,233.70945945945945,226.6689189189189
DeepSeek-R1-Distill-Llama-8B,Reasoning,asdiv,max512,2023,0.9016312407315867,0.9480968858131488,199,94,0.4723618090452261,0.046465645081562035,220.5729115175482,299.1731843575419,302.122905027933
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max1024,1319,0.8097043214556482,0.9181197877179682,251,143,0.5697211155378487,0.10841546626232001,302.5200909780136,337.34412955465586,354.0931174089069
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max1536,1319,0.8104624715693708,0.9150871872630781,250,138,0.552,0.10462471569370735,327.69598180439726,401.6761133603239,406.04453441295544
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max2048,1319,0.8150113722517058,0.9143290371493555,244,131,0.5368852459016393,0.0993176648976497,329.34420015163005,413.2603305785124,379.797520661157
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max256,1319,0.6520090978013646,0.7065959059893859,459,72,0.1568627450980392,0.05458680818802131,282.27672479150874,314.8137254901961,251.95098039215685
DeepSeek-R1-Distill-Llama-8B,Reasoning,gsm8k,max512,1319,0.7983320697498104,0.890068233510235,266,121,0.4548872180451128,0.0917361637604246,315.62092494313873,313.8373983739837,318.8739837398374
DeepSeek-R1-Distill-Llama-8B,Reasoning,sports,max1024,978,0.8271983640081799,0.8578732106339468,169,30,0.17751479289940827,0.030674846625766916,298.6134969325153,338.3786982248521,249.4792899408284
DeepSeek-R1-Distill-Llama-8B,Reasoning,sports,max1536,978,0.8098159509202454,0.8445807770961146,186,34,0.1827956989247312,0.03476482617586918,298.7126789366053,320.03225806451616,250.70967741935485
DeepSeek-R1-Distill-Llama-8B,Reasoning,sports,max2048,978,0.7995910020449898,0.8323108384458078,196,32,0.16326530612244897,0.03271983640081799,304.92229038854805,342.2551020408163,233.77551020408163
DeepSeek-R1-Distill-Llama-8B,Reasoning,sports,max256,978,0.6513292433537833,0.6666666666666666,341,15,0.04398826979472141,0.015337423312883347,352.9560327198364,425.61654135338347,250.54887218045113
DeepSeek-R1-Distill-Llama-8B,Reasoning,sports,max512,978,0.820040899795501,0.852760736196319,176,32,0.18181818181818182,0.03271983640081799,304.6850715746421,351.97701149425285,249.5287356321839
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,aqua,max1024,254,0.6968503937007874,0.7755905511811023,77,20,0.2597402597402597,0.07874015748031493,826.8858267716536,1313.7,712.02
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,aqua,max1536,254,0.7913385826771654,0.8267716535433071,53,9,0.16981132075471697,0.03543307086614167,941.2440944881889,1727.8095238095239,1147.3095238095239
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,aqua,max2048,254,0.7283464566929134,0.8110236220472441,69,21,0.30434782608695654,0.08267716535433067,957.7007874015748,2008.4655172413793,1328.5
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,aqua,max256,254,0.1062992125984252,0.1062992125984252,227,0,0.0,0.0,268.31889763779526,506.6666666666667,311.8333333333333
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,aqua,max512,254,0.5511811023622047,0.562992125984252,114,3,0.02631578947368421,0.011811023622047223,504.81102362204723,562.1764705882352,518.4705882352941
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,ar_lsat,max1024,230,0.07391304347826087,0.11739130434782609,213,10,0.046948356807511735,0.043478260869565216,1283.9913043478261,1569.378947368421,1175.9368421052632
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,ar_lsat,max1536,230,0.16956521739130434,0.2565217391304348,191,20,0.10471204188481675,0.08695652173913046,2071.4347826086955,2294.274074074074,1576.1185185185186
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,ar_lsat,max2048,230,0.17391304347826086,0.2565217391304348,190,19,0.1,0.08260869565217394,2322.182608695652,2363.375,1908.0592105263158
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,ar_lsat,max256,230,0.030434782608695653,0.030434782608695653,223,0,0.0,0.0,266.69565217391306,393.6363636363636,279.3636363636364
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,ar_lsat,max512,230,0.0391304347826087,0.04782608695652174,221,2,0.00904977375565611,0.008695652173913042,570.4391304347826,764.3684210526316,546.5263157894736
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,asdiv,max1024,2023,0.9312901631240732,0.9540286702916461,139,46,0.33093525179856115,0.022738507167572863,243.11319822046465,344.63432835820896,367.7164179104478
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,asdiv,max1536,2023,0.9288185862580326,0.9584775086505191,144,60,0.4166666666666667,0.029658922392486464,242.7869500741473,403.8531468531468,381.7062937062937
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,asdiv,max2048,2023,0.9312901631240732,0.9619377162629758,139,62,0.4460431654676259,0.03064755313890255,237.4760257043994,309.0,362.84892086330933
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,asdiv,max256,2023,0.7271379139891251,0.754325259515571,552,55,0.09963768115942029,0.02718734552644586,220.12308452792882,282.75396825396825,298.62698412698415
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,asdiv,max512,2023,0.9134948096885813,0.9406821552150272,175,55,0.3142857142857143,0.02718734552644586,245.43054869006426,321.4225352112676,330.6830985915493
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,gsm8k,max1024,1319,0.78013646702047,0.8551933282789992,290,99,0.3413793103448276,0.07505686125852917,314.76648976497347,377.9059233449477,421.06271777003485
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,gsm8k,max1536,1319,0.77710386656558,0.8582259287338894,294,107,0.36394557823129253,0.08112206216830942,323.235026535254,378.2241379310345,386.42413793103447
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,gsm8k,max2048,1319,0.775587566338135,0.8423047763457164,296,88,0.2972972972972973,0.06671721000758146,335.7028051554208,425.25597269624575,443.44368600682594
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,gsm8k,max256,1319,0.48597422289613346,0.5208491281273692,678,46,0.06784660766961652,0.03487490523123571,264.683093252464,302.59420289855075,289.90821256038646
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,gsm8k,max512,1319,0.775587566338135,0.8400303260045489,296,85,0.28716216216216217,0.06444275966641388,321.14556482183474,336.5229007633588,368.7557251908397
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,sports,max1024,978,0.5122699386503068,0.588957055214724,477,75,0.15723270440251572,0.07668711656441718,229.95705521472394,228.66876310272536,229.0083857442348
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,sports,max1536,978,0.5286298568507157,0.5940695296523517,461,64,0.13882863340563992,0.06543967280163598,242.0357873210634,244.646420824295,234.01301518438177
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,sports,max2048,978,0.49795501022494887,0.5766871165644172,491,77,0.15682281059063136,0.07873210633946831,239.07770961145195,241.83877551020407,250.11632653061224
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,sports,max256,978,0.4437627811860941,0.47955010224948874,544,35,0.06433823529411764,0.03578732106339466,251.85787321063395,254.46194225721786,265.90551181102364
DeepSeek-R1-Distill-Qwen-1.5B,Reasoning,sports,max512,978,0.5265848670756647,0.5858895705521472,463,58,0.12526997840172785,0.059304703476482534,238.39059304703477,234.9934924078091,223.07158351409979
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,aqua,max1024,254,0.610236220472441,0.7283464566929134,99,30,0.30303030303030304,0.11811023622047245,393.5196850393701,546.463768115942,424.9855072463768
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,aqua,max1536,254,0.6299212598425197,0.7007874015748031,94,18,0.19148936170212766,0.07086614173228345,447.31102362204723,449.3076923076923,683.3384615384615
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,aqua,max2048,254,0.6299212598425197,0.6614173228346457,94,8,0.0851063829787234,0.03149606299212604,573.2519685039371,421.85714285714283,628.8253968253969
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,aqua,max256,254,0.5393700787401575,0.5826771653543307,117,11,0.09401709401709402,0.04330708661417315,192.68897637795277,230.59459459459458,217.2972972972973
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,aqua,max512,254,0.5826771653543307,0.6496062992125984,106,17,0.16037735849056603,0.06692913385826771,262.7834645669291,277.98148148148147,272.9259259259259
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,ar_lsat,max1024,230,0.23043478260869565,0.3739130434782609,177,33,0.1864406779661017,0.14347826086956522,281.6304347826087,247.11904761904762,314.57738095238096
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,ar_lsat,max1536,230,0.24782608695652175,0.4217391304347826,173,40,0.23121387283236994,0.17391304347826086,323.004347826087,258.75308641975306,405.9259259259259
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,ar_lsat,max2048,230,0.2391304347826087,0.39565217391304347,175,36,0.2057142857142857,0.15652173913043477,338.39130434782606,261.5090909090909,368.8060606060606
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,ar_lsat,max256,230,0.1782608695652174,0.25217391304347825,189,17,0.08994708994708994,0.07391304347826086,213.2478260869565,194.4959349593496,220.7642276422764
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,ar_lsat,max512,230,0.24782608695652175,0.391304347826087,173,33,0.1907514450867052,0.14347826086956522,252.51739130434783,230.42767295597486,295.75471698113205
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,asdiv,max1024,2023,0.9110232328225408,0.9480968858131488,180,75,0.4166666666666667,0.03707365299060794,93.82006920415225,245.7888888888889,211.82777777777778
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,asdiv,max1536,2023,0.907563025210084,0.9495798319327731,187,85,0.45454545454545453,0.04201680672268904,106.06475531389026,338.0,309.5561497326203
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,asdiv,max2048,2023,0.9144834404349975,0.9525457241720218,173,77,0.44508670520231214,0.03806228373702425,112.47750865051903,408.67052023121386,289.97109826589593
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,asdiv,max256,2023,0.9105289174493326,0.9446366782006921,181,69,0.3812154696132597,0.03410776075135946,82.31636183885318,155.22651933701658,151.55248618784532
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,asdiv,max512,2023,0.9115175481957489,0.9480968858131488,179,74,0.4134078212290503,0.03657933761739984,84.60207612456747,166.41477272727272,181.1306818181818
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1024,1319,0.8218347232752085,0.8923426838514026,235,93,0.39574468085106385,0.07050796057619413,121.89461713419257,200.89361702127658,186.53617021276597
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1319,0.8225928733889311,0.9014404852160728,234,104,0.4444444444444444,0.07884761182714173,116.97801364670205,165.7008547008547,203.44444444444446
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1319,0.8218347232752085,0.9112964366944655,235,118,0.502127659574468,0.08946171341925702,125.77558756633813,220.27234042553192,166.91914893617022
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max256,1319,0.8309325246398787,0.8976497346474602,223,88,0.39461883408071746,0.06671721000758157,114.24867323730099,152.01793721973095,156.13452914798205
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max512,1319,0.8385140257771039,0.9014404852160728,213,83,0.38967136150234744,0.0629264594389689,114.84003032600455,148.60287081339712,168.55502392344496
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,sports,max1024,978,0.9314928425357873,0.9611451942740287,67,29,0.43283582089552236,0.029652351738241323,74.60838445807771,88.74626865671642,86.2089552238806
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,sports,max1536,978,0.9284253578732107,0.9642126789366053,70,35,0.5,0.03578732106339466,77.02147239263803,93.54285714285714,87.87142857142857
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,sports,max2048,978,0.9222903885480572,0.9601226993865031,76,37,0.4868421052631579,0.03783231083844585,74.61758691206543,91.28947368421052,90.90789473684211
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,sports,max256,978,0.9314928425357873,0.9631901840490797,67,31,0.4626865671641791,0.0316973415132924,74.80265848670757,88.61194029850746,86.56716417910448
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,sports,max512,978,0.9212678936605317,0.9621676891615542,77,40,0.5194805194805194,0.04089979550102241,75.18507157464212,96.05194805194805,89.8051948051948
Phi-4-mini-instruct,Non-Reasoning,aqua,max1024,254,0.7047244094488189,0.7913385826771654,75,22,0.29333333333333333,0.08661417322834652,542.496062992126,937.64,765.2666666666667
Phi-4-mini-instruct,Non-Reasoning,aqua,max256,254,0.6338582677165354,0.7637795275590551,93,33,0.3548387096774194,0.12992125984251968,268.1456692913386,375.5268817204301,295.83870967741933
Phi-4-mini-instruct,Non-Reasoning,aqua,max512,254,0.7283464566929134,0.7952755905511811,69,17,0.2463768115942029,0.06692913385826771,350.7165354330709,534.7971014492754,468.4782608695652
Phi-4-mini-instruct,Non-Reasoning,ar_lsat,max1024,230,0.25217391304347825,0.41739130434782606,172,38,0.22093023255813954,0.16521739130434782,638.1391304347826,638.0988372093024,710.6395348837209
Phi-4-mini-instruct,Non-Reasoning,ar_lsat,max256,230,0.2391304347826087,0.43043478260869567,175,44,0.25142857142857145,0.19130434782608696,350.10434782608695,348.66857142857145,293.7257142857143
Phi-4-mini-instruct,Non-Reasoning,ar_lsat,max512,230,0.2608695652173913,0.39565217391304347,170,31,0.18235294117647058,0.13478260869565217,409.4173913043478,411.3411764705882,365.4
Phi-4-mini-instruct,Non-Reasoning,asdiv,max1024,2023,0.944142362827484,0.9703410776075136,113,53,0.4690265486725664,0.026198714780029664,108.8655462184874,396.70535714285717,437.33035714285717
Phi-4-mini-instruct,Non-Reasoning,asdiv,max1536,2023,0.944142362827484,0.9728126544735541,113,58,0.5132743362831859,0.028670291646070156,135.65546218487395,564.6460176991151,497.16814159292034
Phi-4-mini-instruct,Non-Reasoning,asdiv,max2048,2023,0.9480968858131488,0.9728126544735541,105,50,0.47619047619047616,0.02471576866040537,154.40533860603065,704.152380952381,703.9238095238095
Phi-4-mini-instruct,Non-Reasoning,asdiv,max256,2023,0.9480968858131488,0.972318339100346,105,49,0.4666666666666667,0.02422145328719727,84.18487394957984,178.71428571428572,166.3904761904762
Phi-4-mini-instruct,Non-Reasoning,asdiv,max512,2023,0.949085516559565,0.9728126544735541,103,48,0.46601941747572817,0.02372713791398917,92.3534354918438,249.83495145631068,230.92233009708738
Phi-4-mini-instruct,Non-Reasoning,gsm8k,max1024,1319,0.8802122820318423,0.9302501895375285,158,66,0.4177215189873418,0.05003790750568615,164.9188779378317,387.5,399.23417721518985
Phi-4-mini-instruct,Non-Reasoning,gsm8k,max1536,1319,0.8786959818043972,0.9287338893100834,160,66,0.4125,0.05003790750568615,181.29188779378316,477.7169811320755,389.9433962264151
Phi-4-mini-instruct,Non-Reasoning,gsm8k,max256,1319,0.8749052312357847,0.9257012888551933,165,67,0.40606060606060607,0.05079605761940864,127.01440485216072,189.23636363636365,192.9030303030303
Phi-4-mini-instruct,Non-Reasoning,gsm8k,max512,1319,0.8847611827141774,0.9317664897649734,152,62,0.40789473684210525,0.047005307050796086,134.20697498104624,225.36184210526315,237.07894736842104
Phi-4-mini-instruct,Non-Reasoning,sports,max1024,978,0.7239263803680982,0.7811860940695297,270,56,0.2074074074074074,0.05725971370143146,73.02147239263803,77.94444444444444,80.51851851851852
Phi-4-mini-instruct,Non-Reasoning,sports,max1536,978,0.7515337423312883,0.8006134969325154,243,48,0.19753086419753085,0.049079754601227044,72.82310838445808,75.04526748971193,84.23045267489712
Phi-4-mini-instruct,Non-Reasoning,sports,max2048,978,0.7372188139059305,0.7924335378323109,257,54,0.21011673151750973,0.05521472392638038,72.51533742331289,74.54863813229572,83.62256809338521
Phi-4-mini-instruct,Non-Reasoning,sports,max256,978,0.7484662576687117,0.7975460122699386,246,48,0.1951219512195122,0.04907975460122693,73.28834355828221,75.95934959349593,75.2520325203252
Phi-4-mini-instruct,Non-Reasoning,sports,max512,978,0.7331288343558282,0.7903885480572597,261,56,0.21455938697318008,0.05725971370143146,72.41104294478528,74.39080459770115,75.42145593869732
Phi-4-mini-reasoning,Reasoning,aqua,max256,254,0.04330708661417323,0.04330708661417323,243,0,0.0,0.0,301.40944881889766,653.7,268.8
Phi-4-mini-reasoning,Reasoning,aqua,max512,254,0.06692913385826772,0.06692913385826772,237,0,0.0,0.0,594.4291338582677,1336.391304347826,534.1739130434783
Phi-4-mini-reasoning,Reasoning,ar_lsat,max256,230,0.06086956521739131,0.06086956521739131,216,0,0.0,0.0,339.66521739130434,566.2083333333334,336.1666666666667
Phi-4-mini-reasoning,Reasoning,ar_lsat,max512,230,0.06521739130434782,0.06956521739130435,215,1,0.004651162790697674,0.004347826086956524,667.8652173913043,1015.5263157894736,700.4912280701755
Phi-4-mini-reasoning,Reasoning,asdiv,max256,2023,0.5907068709836876,0.5941670785961444,828,7,0.008454106280193236,0.0034602076124568004,262.4043499752842,453.9866666666667,279.7866666666667
Phi-4-mini-reasoning,Reasoning,asdiv,max512,2023,0.8284725654967869,0.8497281265447355,347,43,0.1239193083573487,0.021255561047948568,526.4977755808205,816.8303571428571,552.0535714285714
Phi-4-mini-reasoning,Reasoning,gsm8k,max256,1319,0.20545868081880211,0.20697498104624715,1048,2,0.0019083969465648854,0.0015163002274450332,268.4586808188021,494.16901408450707,266.7323943661972
Phi-4-mini-reasoning,Reasoning,gsm8k,max512,1319,0.4981046247156937,0.5284306292645944,662,40,0.06042296072507553,0.030326004548900665,572.2517058377558,989.8622754491018,569.5209580838323
Phi-4-mini-reasoning,Reasoning,sports,max1024,978,0.6973415132924335,0.7965235173824131,296,97,0.3277027027027027,0.09918200408997957,1024.4580777096114,1040.2313432835822,1028.8507462686566
Phi-4-mini-reasoning,Reasoning,sports,max1536,978,0.6707566462167689,0.7862985685071575,322,113,0.35093167701863354,0.11554192229038862,1537.9662576687117,1545.5303514376997,1520.3993610223642
Phi-4-mini-reasoning,Reasoning,sports,max256,978,0.11042944785276074,0.11451942740286299,870,4,0.004597701149425287,0.004089979550102249,266.0552147239264,339.1875,265.9166666666667
Phi-4-mini-reasoning,Reasoning,sports,max512,978,0.5787321063394683,0.6462167689161554,412,66,0.16019417475728157,0.06748466257668717,521.0654396728016,533.3689320388349,515.7135922330098
Qwen2.5-Math-1.5B-instruct,Non-Reasoning,aqua,max1024,254,0.7637795275590551,0.7795275590551181,60,4,0.06666666666666667,0.015748031496062964,448.6732283464567,614.5178571428571,715.0892857142857
Qwen2.5-Math-1.5B-instruct,Non-Reasoning,aqua,max1536,254,0.7204724409448819,0.7440944881889764,71,6,0.08450704225352113,0.023622047244094446,455.8503937007874,671.4626865671642,1047.0298507462687
Qwen2.5-Math-1.5B-instruct,Non-Reasoning,aqua,max2048,254,0.7559055118110236,0.7755905511811023,62,5,0.08064516129032258,0.019685039370078705,457.83858267716533,648.6949152542373,1343.2203389830509
Qwen2.5-Math-1.5B-instruct,Non-Reasoning,aqua,max256,254,0.3110236220472441,0.32677165354330706,175,4,0.022857142857142857,0.015748031496062964,280.18897637795277,448.5,311.7
Qwen2.5-Math-1.5B-instruct,Non-Reasoning,aqua,max512,254,0.6614173228346457,0.6771653543307087,86,4,0.046511627906976744,0.015748031496062964,407.5590551181102,569.9512195121952,453.1951219512195
Qwen2.5-Math-1.5B-instruct,Non-Reasoning,ar_lsat,max1024,230,0.20434782608695654,0.25217391304347825,183,11,0.060109289617486336,0.04782608695652171,760.4521739130435,760.8963414634146,827.6341463414634
