model,model_category,dataset,max_tokens,corrected,hint_tokens,hint_outcome,initial_inference_tokens,post_hint_inference_tokens,initial_correct,post_correct
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1536,1,1,Corrected,3075,757,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1536,0,36,Not corrected,2093,2047,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max1536,0,39,Not corrected,1241,1270,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max2048,0,41,Not corrected,5063,1697,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max2048,0,2182,Not corrected,2494,1101,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max2048,0,50,Not corrected,3230,1546,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max2048,0,34,Not corrected,2281,2296,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max2048,1,2163,Corrected,2049,369,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max2048,0,40,Not corrected,993,1206,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max256,1,257,Corrected,773,691,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max256,0,257,Not corrected,512,257,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max256,0,257,Not corrected,774,257,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max256,1,257,Corrected,330,651,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max256,1,257,Corrected,511,489,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max256,0,260,Not corrected,514,257,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max256,1,257,Corrected,283,365,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max512,0,14,Not corrected,1079,513,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max512,0,32,Not corrected,951,513,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max512,0,523,Not corrected,927,668,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,aqua,max512,0,93,Not corrected,696,814,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,40,Not corrected,2051,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1058,Corrected,1025,2947,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1030,Corrected,1025,1025,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,39,Not corrected,2051,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1036,Corrected,1025,1860,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,56,Not corrected,1025,2051,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1033,Not corrected,3077,406,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1025,Not corrected,3076,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1041,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1041,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1047,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1037,Not corrected,1025,1342,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1030,Not corrected,1024,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,46,Corrected,3077,2385,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1049,Not corrected,3077,221,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1043,Corrected,1024,2051,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1024,Not corrected,3077,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1042,Corrected,2051,2115,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,34,Not corrected,3077,2051,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,42,Not corrected,1287,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1025,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1027,Not corrected,2051,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1060,Corrected,1025,1122,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,32,Not corrected,1025,1024,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1046,Corrected,1025,1025,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1061,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1029,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1025,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1044,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1025,Not corrected,2051,1024,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1025,Not corrected,2051,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1031,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1047,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1052,Corrected,3076,1025,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1,Not corrected,2051,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1,Not corrected,1025,2051,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1041,Not corrected,1024,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1034,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1038,Not corrected,1025,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1,Not corrected,2050,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1036,Not corrected,3074,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1025,Not corrected,3077,3077,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,34,Corrected,2050,1777,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1039,Corrected,2050,1025,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1043,Not corrected,1025,2051,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1027,Corrected,1025,3075,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,48,Not corrected,3076,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1040,Corrected,3075,1025,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1046,Not corrected,2051,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1025,Not corrected,3075,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1062,Corrected,1025,1450,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,1032,Corrected,1025,1024,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,1,42,Corrected,3076,1025,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,34,Not corrected,1416,1131,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,1025,Not corrected,2051,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1024,0,32,Not corrected,2303,1025,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1563,Corrected,1537,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1,Not corrected,1537,3075,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1537,Corrected,1537,4613,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1537,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1536,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1,Not corrected,1536,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1545,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1537,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1565,Corrected,1537,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1537,Corrected,3075,3074,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1579,Corrected,1537,1688,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1591,Corrected,1537,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1638,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1555,Corrected,1537,2946,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1562,Corrected,4613,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1,Not corrected,1537,3075,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1547,Not corrected,3075,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1619,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1550,Corrected,1537,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,21,Not corrected,3075,2990,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1537,Corrected,4613,2212,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1537,Not corrected,3074,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,52,Not corrected,3075,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1568,Corrected,3075,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,36,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1537,Not corrected,1536,3073,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1570,Corrected,1537,2268,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1559,Corrected,1537,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1563,Corrected,1537,2963,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1537,Corrected,1537,4611,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,78,Not corrected,1536,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1550,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1554,Corrected,4610,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1549,Corrected,1537,2006,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,29,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,32,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1572,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,53,Not corrected,3074,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1543,Not corrected,1537,4611,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,209,Corrected,1537,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,56,Corrected,3075,2120,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1537,Corrected,1537,3131,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,109,Not corrected,4613,1535,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1551,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1,Corrected,3073,3729,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,30,Not corrected,3074,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1573,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1548,Corrected,4613,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1557,Corrected,1537,1619,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1580,Not corrected,3074,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1592,Not corrected,1536,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1594,Corrected,4612,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1597,Not corrected,3075,4610,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,51,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1565,Corrected,3074,4612,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1618,Not corrected,3067,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,47,Not corrected,2363,2229,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,47,Not corrected,4041,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,133,Not corrected,1537,1536,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1574,Not corrected,1537,1583,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,0,1552,Not corrected,1537,1537,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max1536,1,1597,Corrected,1537,1537,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2202,Corrected,2049,2049,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2053,Corrected,2049,4097,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,65,Corrected,2049,3098,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,43,Not corrected,4890,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2079,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,1,Corrected,2049,2049,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2056,Not corrected,4099,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2076,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2076,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2083,Corrected,2049,2046,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,1,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,43,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,1,Corrected,2049,2049,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,1,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2164,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2049,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2069,Corrected,2049,4099,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2051,Not corrected,4099,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,70,Corrected,2049,1045,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2049,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,30,Corrected,4099,3989,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2049,Corrected,2049,6149,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,1,Not corrected,2049,2048,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2103,Corrected,4099,1500,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2072,Not corrected,6149,2047,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2145,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,1,Corrected,2049,2049,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2071,Not corrected,2049,6148,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2049,Corrected,2049,4293,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2049,Corrected,4098,1809,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2054,Not corrected,4099,4098,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2063,Corrected,6147,4004,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2101,Not corrected,2049,6149,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2077,Corrected,2048,2203,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2134,Not corrected,4098,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,1,Corrected,2049,4099,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,47,Not corrected,4099,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,1,Corrected,4099,4054,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,33,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2067,Corrected,2049,4586,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2064,Corrected,2049,4098,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,36,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,32,Not corrected,4099,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,1,Not corrected,2049,2296,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,43,Not corrected,2049,4318,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2108,Corrected,2049,2049,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2093,Not corrected,2049,4099,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2179,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,61,Corrected,2049,1467,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2060,Corrected,4099,2049,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,33,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,42,Not corrected,6147,4099,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,1,Not corrected,2343,4099,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2093,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,60,Not corrected,4098,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,32,Corrected,4098,4519,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,32,Corrected,6148,5647,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2082,Corrected,4098,3988,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2076,Corrected,2049,2049,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2082,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,2099,Corrected,4099,2047,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,1,Not corrected,4098,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,1,32,Corrected,4095,4099,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,46,Not corrected,4772,4648,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,44,Not corrected,2239,4565,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2109,Not corrected,4099,6147,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,56,Not corrected,4099,4098,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,50,Not corrected,6149,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2069,Not corrected,2049,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,2064,Not corrected,6148,2049,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max2048,0,1,Not corrected,2049,4098,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,0,257,Not corrected,515,257,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,0,259,Not corrected,257,257,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,0,257,Not corrected,257,257,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,0,257,Not corrected,515,257,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,1,260,Corrected,257,107,0,1
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,0,257,Not corrected,575,255,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,0,261,Not corrected,513,257,0,0
DeepSeek-R1-0528-Qwen3-8B,Reasoning,ar_lsat,max256,0,265,Not corrected,257,257,0,0
