model,dataset,max_tokes,initial_accuracy,n_incorrect_answer,n_corrected_answer,posthint_accuracy,correction_rate,delta_accuracy
DeepSeek-R1-Distill-Llama-8B,asdiv,1536,0.908057,186,123,0.968858,0.661290,0.060801
DeepSeek-R1-Distill-Llama-8B,asdiv,2048,0.915472,171,102,0.965892,0.596491,0.050420
DeepSeek-R1-Distill-Llama-8B,asdiv,256,0.823529,357,69,0.857637,0.193277,0.034108
DeepSeek-R1-Distill-Llama-8B,asdiv,512,0.901631,199,94,0.948097,0.472362,0.046466
DeepSeek-R1-Distill-Llama-8B,gsm8k,1024,0.809704,251,143,0.918120,0.569721,0.108415
DeepSeek-R1-Distill-Llama-8B,gsm8k,1536,0.810462,250,138,0.915087,0.552000,0.104625
DeepSeek-R1-Distill-Llama-8B,gsm8k,2048,0.815011,244,131,0.914329,0.536885,0.099318
DeepSeek-R1-Distill-Llama-8B,gsm8k,256,0.652009,459,72,0.706596,0.156863,0.054587
DeepSeek-R1-Distill-Llama-8B,gsm8k,512,0.798332,266,121,0.890068,0.454887,0.091736
DeepSeek-R1-Distill-Llama-8B,sports,1024,0.827198,169,30,0.857873,0.177515,0.030675
DeepSeek-R1-Distill-Llama-8B,sports,1536,0.809816,186,34,0.844581,0.182796,0.034765
DeepSeek-R1-Distill-Llama-8B,sports,2048,0.799591,196,32,0.832311,0.163265,0.032720
DeepSeek-R1-Distill-Llama-8B,sports,256,0.651329,341,15,0.666667,0.043988,0.015337
DeepSeek-R1-Distill-Llama-8B,sports,512,0.820041,176,32,0.852761,0.181818,0.032720
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1024,0.696850,77,20,0.775591,0.259740,0.078740
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1536,0.791339,53,9,0.826772,0.169811,0.035433
DeepSeek-R1-Distill-Qwen-1.5B,aqua,2048,0.728346,69,21,0.811024,0.304348,0.082677
DeepSeek-R1-Distill-Qwen-1.5B,aqua,256,0.106299,227,0,0.106299,0.000000,0.000000
DeepSeek-R1-Distill-Qwen-1.5B,aqua,512,0.551181,114,3,0.562992,0.026316,0.011811
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,1024,0.073913,213,10,0.117391,0.046948,0.043478
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,1536,0.169565,191,20,0.256522,0.104712,0.086957
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,2048,0.173913,190,19,0.256522,0.100000,0.082609
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,256,0.030435,223,0,0.030435,0.000000,0.000000
DeepSeek-R1-Distill-Qwen-1.5B,ar_lsat,512,0.039130,221,2,0.047826,0.009050,0.008696
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,1024,0.931290,139,46,0.954029,0.330935,0.022739
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,1536,0.928819,144,60,0.958478,0.416667,0.029659
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,2048,0.931290,139,62,0.961938,0.446043,0.030648
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,256,0.727138,552,55,0.754325,0.099638,0.027187
DeepSeek-R1-Distill-Qwen-1.5B,asdiv,512,0.913495,175,55,0.940682,0.314286,0.027187
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,1024,0.780136,290,99,0.855193,0.341379,0.075057
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,1536,0.777104,294,107,0.858226,0.363946,0.081122
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,2048,0.775588,296,88,0.842305,0.297297,0.066717
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,256,0.485974,678,46,0.520849,0.067847,0.034875
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,512,0.775588,296,85,0.840030,0.287162,0.064443
DeepSeek-R1-Distill-Qwen-1.5B,sports,1024,0.512270,477,75,0.588957,0.157233,0.076687
DeepSeek-R1-Distill-Qwen-1.5B,sports,1536,0.528630,461,64,0.594070,0.138829,0.065440
DeepSeek-R1-Distill-Qwen-1.5B,sports,2048,0.497955,491,77,0.576687,0.156823,0.078732
DeepSeek-R1-Distill-Qwen-1.5B,sports,256,0.443763,544,35,0.479550,0.064338,0.035787
DeepSeek-R1-Distill-Qwen-1.5B,sports,512,0.526585,463,58,0.585890,0.125270,0.059305
Meta-Llama-3.1-8B-Instruct,aqua,1024,0.610236,99,30,0.728346,0.303030,0.118110
Meta-Llama-3.1-8B-Instruct,aqua,1536,0.629921,94,18,0.700787,0.191489,0.070866
Meta-Llama-3.1-8B-Instruct,aqua,2048,0.629921,94,22,0.716535,0.234043,0.086614
Meta-Llama-3.1-8B-Instruct,aqua,256,0.539370,117,11,0.582677,0.094017,0.043307
Meta-Llama-3.1-8B-Instruct,aqua,512,0.582677,106,17,0.649606,0.160377,0.066929
Meta-Llama-3.1-8B-Instruct,ar_lsat,1024,0.230435,177,33,0.373913,0.186441,0.143478
Meta-Llama-3.1-8B-Instruct,ar_lsat,1536,0.247826,173,40,0.421739,0.231214,0.173913
Meta-Llama-3.1-8B-Instruct,ar_lsat,2048,0.239130,175,36,0.395652,0.205714,0.156522
Meta-Llama-3.1-8B-Instruct,ar_lsat,256,0.178261,189,17,0.252174,0.089947,0.073913
Meta-Llama-3.1-8B-Instruct,ar_lsat,512,0.247826,173,33,0.391304,0.190751,0.143478
Meta-Llama-3.1-8B-Instruct,asdiv,1024,0.911023,180,75,0.948097,0.416667,0.037074
Meta-Llama-3.1-8B-Instruct,asdiv,1536,0.907563,187,85,0.949580,0.454545,0.042017
Meta-Llama-3.1-8B-Instruct,asdiv,2048,0.914483,173,77,0.952546,0.445087,0.038062
Meta-Llama-3.1-8B-Instruct,asdiv,256,0.910529,181,69,0.944637,0.381215,0.034108
Meta-Llama-3.1-8B-Instruct,asdiv,512,0.911518,179,74,0.948097,0.413408,0.036579
Meta-Llama-3.1-8B-Instruct,gsm8k,1024,0.821835,235,93,0.892343,0.395745,0.070508
Meta-Llama-3.1-8B-Instruct,gsm8k,1536,0.822593,234,104,0.901440,0.444444,0.078848
Meta-Llama-3.1-8B-Instruct,gsm8k,2048,0.821835,235,118,0.911296,0.502128,0.089462
Meta-Llama-3.1-8B-Instruct,gsm8k,256,0.830933,223,88,0.897650,0.394619,0.066717
Meta-Llama-3.1-8B-Instruct,gsm8k,512,0.838514,213,83,0.901440,0.389671,0.062926
Meta-Llama-3.1-8B-Instruct,sports,1024,0.931493,67,29,0.961145,0.432836,0.029652
Meta-Llama-3.1-8B-Instruct,sports,1536,0.928425,70,35,0.964213,0.500000,0.035787
Meta-Llama-3.1-8B-Instruct,sports,2048,0.922290,76,37,0.960123,0.486842,0.037832
Meta-Llama-3.1-8B-Instruct,sports,256,0.931493,67,31,0.963190,0.462687,0.031697
Meta-Llama-3.1-8B-Instruct,sports,512,0.921268,77,40,0.962168,0.519481,0.040900
Phi-4-mini-instruct,aqua,1024,0.704724,75,22,0.791339,0.293333,0.086614
Phi-4-mini-instruct,aqua,1536,0.673228,83,0,0.673228,0.000000,0.000000
Phi-4-mini-instruct,aqua,2048,0.688976,79,0,0.688976,0.000000,0.000000
Phi-4-mini-instruct,aqua,256,0.633858,93,33,0.763780,0.354839,0.129921
Phi-4-mini-instruct,aqua,512,0.728346,69,17,0.795276,0.246377,0.066929
Phi-4-mini-instruct,ar_lsat,1024,0.252174,172,38,0.417391,0.220930,0.165217
Phi-4-mini-instruct,ar_lsat,1536,0.217391,180,0,0.217391,0.000000,0.000000
Phi-4-mini-instruct,ar_lsat,256,0.239130,175,44,0.430435,0.251429,0.191304
Phi-4-mini-instruct,ar_lsat,512,0.260870,170,31,0.395652,0.182353,0.134783
Phi-4-mini-instruct,asdiv,1024,0.944142,113,53,0.970341,0.469027,0.026199
Phi-4-mini-instruct,asdiv,1536,0.944142,113,58,0.972813,0.513274,0.028670
Phi-4-mini-instruct,asdiv,2048,0.948097,105,50,0.972813,0.476190,0.024716
Phi-4-mini-instruct,asdiv,256,0.948097,105,49,0.972318,0.466667,0.024221
Phi-4-mini-instruct,asdiv,512,0.949086,103,48,0.972813,0.466019,0.023727
Phi-4-mini-instruct,gsm8k,1024,0.880212,158,66,0.930250,0.417722,0.050038
Phi-4-mini-instruct,gsm8k,1536,0.878696,160,66,0.928734,0.412500,0.050038
Phi-4-mini-instruct,gsm8k,2048,0.890068,145,0,0.890068,0.000000,0.000000
Phi-4-mini-instruct,gsm8k,256,0.874905,165,67,0.925701,0.406061,0.050796
Phi-4-mini-instruct,gsm8k,512,0.884761,152,62,0.931766,0.407895,0.047005
Phi-4-mini-instruct,sports,1024,0.723926,270,56,0.781186,0.207407,0.057260
Phi-4-mini-instruct,sports,1536,0.751534,243,48,0.800613,0.197531,0.049080
Phi-4-mini-instruct,sports,2048,0.737219,257,54,0.792434,0.210117,0.055215
Phi-4-mini-instruct,sports,256,0.748466,246,48,0.797546,0.195122,0.049080
Phi-4-mini-instruct,sports,512,0.733129,261,56,0.790389,0.214559,0.057260
Phi-4-mini-reasoning,aqua,1024,0.370079,160,0,0.370079,0.000000,0.000000
Phi-4-mini-reasoning,aqua,256,0.043307,243,0,0.043307,0.000000,0.000000
Phi-4-mini-reasoning,aqua,512,0.066929,237,0,0.066929,0.000000,0.000000
Phi-4-mini-reasoning,ar_lsat,256,0.060870,216,0,0.060870,0.000000,0.000000
Phi-4-mini-reasoning,ar_lsat,512,0.065217,215,1,0.069565,0.004651,0.004348
Phi-4-mini-reasoning,asdiv,1024,0.932773,136,0,0.932773,0.000000,0.000000
Phi-4-mini-reasoning,asdiv,1536,0.945131,111,0,0.945131,0.000000,0.000000
Phi-4-mini-reasoning,asdiv,2048,0.939199,123,0,0.939199,0.000000,0.000000
Phi-4-mini-reasoning,asdiv,256,0.590707,828,7,0.594167,0.008454,0.003460
Phi-4-mini-reasoning,asdiv,512,0.828473,347,43,0.849728,0.123919,0.021256
Phi-4-mini-reasoning,gsm8k,1024,0.845337,204,0,0.845337,0.000000,0.000000
Phi-4-mini-reasoning,gsm8k,256,0.205459,1048,2,0.206975,0.001908,0.001516
Phi-4-mini-reasoning,gsm8k,512,0.498105,662,40,0.528431,0.060423,0.030326
Phi-4-mini-reasoning,sports,1024,0.697342,296,97,0.796524,0.327703,0.099182
Phi-4-mini-reasoning,sports,1536,0.670757,322,113,0.786299,0.350932,0.115542
Phi-4-mini-reasoning,sports,2048,0.728016,266,0,0.728016,0.000000,0.000000
Phi-4-mini-reasoning,sports,256,0.110429,870,4,0.114519,0.004598,0.004090
Phi-4-mini-reasoning,sports,512,0.578732,412,66,0.646217,0.160194,0.067485
Qwen2.5-Math-1.5B-instruct,aqua,1024,0.763780,60,4,0.779528,0.066667,0.015748
Qwen2.5-Math-1.5B-instruct,aqua,1536,0.720472,71,6,0.744094,0.084507,0.023622
Qwen2.5-Math-1.5B-instruct,aqua,2048,0.755906,62,5,0.775591,0.080645,0.019685
Qwen2.5-Math-1.5B-instruct,aqua,256,0.311024,175,4,0.326772,0.022857,0.015748
Qwen2.5-Math-1.5B-instruct,aqua,512,0.661417,86,4,0.677165,0.046512,0.015748
Qwen2.5-Math-1.5B-instruct,ar_lsat,1024,0.204348,183,11,0.252174,0.060109,0.047826
Qwen2.5-Math-1.5B-instruct,ar_lsat,1536,0.243478,174,19,0.326087,0.109195,0.082609
Qwen2.5-Math-1.5B-instruct,ar_lsat,2048,0.186957,187,19,0.269565,0.101604,0.082609
Qwen2.5-Math-1.5B-instruct,ar_lsat,256,0.108696,205,9,0.147826,0.043902,0.039130
Qwen2.5-Math-1.5B-instruct,ar_lsat,512,0.100000,207,20,0.186957,0.096618,0.086957
Qwen2.5-Math-1.5B-instruct,asdiv,1024,0.953040,95,9,0.957489,0.094737,0.004449
Qwen2.5-Math-1.5B-instruct,asdiv,1536,0.956995,87,7,0.960455,0.080460,0.003460
Qwen2.5-Math-1.5B-instruct,asdiv,2048,0.954029,93,8,0.957983,0.086022,0.003955
Qwen2.5-Math-1.5B-instruct,asdiv,256,0.862086,279,7,0.865546,0.025090,0.003460
Qwen2.5-Math-1.5B-instruct,asdiv,512,0.956995,87,2,0.957983,0.022989,0.000989
Qwen2.5-Math-1.5B-instruct,gsm8k,1024,0.841547,209,3,0.843821,0.014354,0.002274
Qwen2.5-Math-1.5B-instruct,gsm8k,1536,0.840788,210,10,0.848370,0.047619,0.007582
Qwen2.5-Math-1.5B-instruct,gsm8k,2048,0.843821,206,10,0.851403,0.048544,0.007582
Qwen2.5-Math-1.5B-instruct,gsm8k,256,0.473086,695,14,0.483700,0.020144,0.010614
Qwen2.5-Math-1.5B-instruct,gsm8k,512,0.836240,216,13,0.846096,0.060185,0.009856
Qwen2.5-Math-1.5B-instruct,sports,1024,0.485685,503,49,0.535787,0.097416,0.050102
Qwen2.5-Math-1.5B-instruct,sports,1536,0.512270,477,45,0.558282,0.094340,0.046012
Qwen2.5-Math-1.5B-instruct,sports,2048,0.485685,503,59,0.546012,0.117296,0.060327
Qwen2.5-Math-1.5B-instruct,sports,256,0.488753,500,43,0.532720,0.086000,0.043967
Qwen2.5-Math-1.5B-instruct,sports,512,0.485685,503,44,0.530675,0.087475,0.044990
Qwen2.5-Math-7B-instruct,aqua,1024,0.755906,62,2,0.763780,0.032258,0.007874
Qwen2.5-Math-7B-instruct,aqua,1536,0.755906,62,0,0.755906,0.000000,0.000000
Qwen2.5-Math-7B-instruct,aqua,2048,0.744094,65,0,0.744094,0.000000,0.000000
Qwen2.5-Math-7B-instruct,aqua,256,0.468504,135,12,0.515748,0.088889,0.047244
Qwen2.5-Math-7B-instruct,aqua,512,0.720472,71,5,0.740157,0.070423,0.019685
Qwen2.5-Math-7B-instruct,ar_lsat,1024,0.256522,171,8,0.291304,0.046784,0.034783
Qwen2.5-Math-7B-instruct,ar_lsat,1536,0.234783,176,2,0.243478,0.011364,0.008696
Qwen2.5-Math-7B-instruct,ar_lsat,2048,0.252174,172,4,0.269565,0.023256,0.017391
Qwen2.5-Math-7B-instruct,ar_lsat,256,0.230435,177,6,0.256522,0.033898,0.026087
Qwen2.5-Math-7B-instruct,ar_lsat,512,0.282609,165,5,0.304348,0.030303,0.021739
Qwen2.5-Math-7B-instruct,asdiv,1024,0.964904,71,6,0.967870,0.084507,0.002966
Qwen2.5-Math-7B-instruct,asdiv,1536,0.963421,74,2,0.964409,0.027027,0.000989
Qwen2.5-Math-7B-instruct,asdiv,2048,0.962926,75,3,0.964409,0.040000,0.001483
Qwen2.5-Math-7B-instruct,asdiv,256,0.939694,122,19,0.949086,0.155738,0.009392
Qwen2.5-Math-7B-instruct,asdiv,512,0.961443,78,6,0.964409,0.076923,0.002966
Qwen2.5-Math-7B-instruct,gsm8k,1024,0.944655,73,5,0.948446,0.068493,0.003791
Qwen2.5-Math-7B-instruct,gsm8k,1536,0.940106,79,10,0.947688,0.126582,0.007582
Qwen2.5-Math-7B-instruct,gsm8k,2048,0.941622,77,4,0.944655,0.051948,0.003033
Qwen2.5-Math-7B-instruct,gsm8k,256,0.717968,372,56,0.760425,0.150538,0.042456
Qwen2.5-Math-7B-instruct,gsm8k,512,0.943139,75,7,0.948446,0.093333,0.005307
Qwen2.5-Math-7B-instruct,sports,1024,0.588957,402,5,0.594070,0.012438,0.005112
Qwen2.5-Math-7B-instruct,sports,1536,0.585890,405,5,0.591002,0.012346,0.005112
Qwen2.5-Math-7B-instruct,sports,2048,0.558282,432,5,0.563395,0.011574,0.005112
Qwen2.5-Math-7B-instruct,sports,256,0.559305,431,44,0.604294,0.102088,0.044990
Qwen2.5-Math-7B-instruct,sports,512,0.576687,414,12,0.588957,0.028986,0.012270
gemma-2-2b-it,aqua,1024,0.429134,145,37,0.574803,0.255172,0.145669
gemma-2-2b-it,aqua,1536,0.377953,158,41,0.539370,0.259494,0.161417
gemma-2-2b-it,aqua,2048,0.350394,165,40,0.507874,0.242424,0.157480
gemma-2-2b-it,aqua,256,0.381890,157,28,0.492126,0.178344,0.110236
gemma-2-2b-it,aqua,512,0.366142,161,37,0.511811,0.229814,0.145669
gemma-2-2b-it,ar_lsat,1024,0.217391,180,30,0.347826,0.166667,0.130435
gemma-2-2b-it,ar_lsat,1536,0.221739,179,23,0.321739,0.128492,0.100000
gemma-2-2b-it,ar_lsat,2048,0.260870,170,33,0.404348,0.194118,0.143478
gemma-2-2b-it,ar_lsat,256,0.217391,180,27,0.334783,0.150000,0.117391
gemma-2-2b-it,ar_lsat,512,0.234783,176,31,0.369565,0.176136,0.134783
gemma-2-2b-it,asdiv,1024,0.803757,397,125,0.865546,0.314861,0.061789
gemma-2-2b-it,asdiv,1536,0.807217,390,111,0.862086,0.284615,0.054869
gemma-2-2b-it,asdiv,2048,0.809689,385,122,0.869995,0.316883,0.060306
gemma-2-2b-it,asdiv,256,0.815126,374,95,0.862086,0.254011,0.046960
gemma-2-2b-it,asdiv,512,0.803262,398,116,0.860603,0.291457,0.057341
gemma-2-2b-it,gsm8k,1024,0.492798,669,149,0.605762,0.222720,0.112964
gemma-2-2b-it,gsm8k,1536,0.500379,659,143,0.608795,0.216995,0.108415
gemma-2-2b-it,gsm8k,2048,0.517058,637,119,0.607278,0.186813,0.090220
gemma-2-2b-it,gsm8k,256,0.515542,639,140,0.621683,0.219092,0.106141
gemma-2-2b-it,gsm8k,512,0.501137,658,142,0.608795,0.215805,0.107657
gemma-2-2b-it,sports,1024,0.835378,161,33,0.869121,0.204969,0.033742
gemma-2-2b-it,sports,1536,0.835378,161,39,0.875256,0.242236,0.039877
gemma-2-2b-it,sports,2048,0.831288,165,43,0.875256,0.260606,0.043967
gemma-2-2b-it,sports,256,0.838446,158,32,0.871166,0.202532,0.032720
gemma-2-2b-it,sports,512,0.834356,162,39,0.874233,0.240741,0.039877
