model,dataset,max_tokes,initial_accuracy,n_incorrect_answer,n_corrected_answer,posthint_accuracy,correction_rate,delta_accuracy
Phi-4-mini-reasoning,sports,2048,0.728016,266,0,0.728016,0.000000,0.000000
Qwen2.5-Math-1.5B-instruct,aqua,1024,0.763780,60,4,0.779528,0.066667,0.015748
Qwen2.5-Math-1.5B-instruct,aqua,2048,0.755906,62,5,0.775591,0.080645,0.019685
Qwen2.5-Math-1.5B-instruct,ar_lsat,1024,0.204348,183,11,0.252174,0.060109,0.047826
Qwen2.5-Math-1.5B-instruct,ar_lsat,2048,0.186957,187,19,0.269565,0.101604,0.082609
Qwen2.5-Math-1.5B-instruct,asdiv,1024,0.953040,95,9,0.957489,0.094737,0.004449
Qwen2.5-Math-1.5B-instruct,asdiv,2048,0.954029,93,8,0.957983,0.086022,0.003955
Qwen2.5-Math-1.5B-instruct,gsm8k,1024,0.841547,209,3,0.843821,0.014354,0.002274
Qwen2.5-Math-1.5B-instruct,gsm8k,2048,0.843821,206,10,0.851403,0.048544,0.007582
Qwen2.5-Math-1.5B-instruct,sports,1024,0.485685,503,49,0.535787,0.097416,0.050102
Qwen2.5-Math-1.5B-instruct,sports,2048,0.485685,503,59,0.546012,0.117296,0.060327
Qwen2.5-Math-7B-instruct,aqua,1024,0.755906,62,2,0.763780,0.032258,0.007874
Qwen2.5-Math-7B-instruct,aqua,2048,0.744094,65,0,0.744094,0.000000,0.000000
Qwen2.5-Math-7B-instruct,ar_lsat,1024,0.256522,171,8,0.291304,0.046784,0.034783
Qwen2.5-Math-7B-instruct,ar_lsat,2048,0.252174,172,4,0.269565,0.023256,0.017391
Qwen2.5-Math-7B-instruct,asdiv,1024,0.964904,71,6,0.967870,0.084507,0.002966
Qwen2.5-Math-7B-instruct,asdiv,2048,0.962926,75,3,0.964409,0.040000,0.001483
Qwen2.5-Math-7B-instruct,gsm8k,1024,0.944655,73,5,0.948446,0.068493,0.003791
Qwen2.5-Math-7B-instruct,gsm8k,2048,0.941622,77,4,0.944655,0.051948,0.003033
Qwen2.5-Math-7B-instruct,sports,1024,0.588957,402,5,0.594070,0.012438,0.005112
Qwen2.5-Math-7B-instruct,sports,2048,0.558282,432,5,0.563395,0.011574,0.005112
gemma-2-2b-it,aqua,1024,0.429134,145,37,0.574803,0.255172,0.145669
gemma-2-2b-it,aqua,2048,0.350394,165,40,0.507874,0.242424,0.157480
gemma-2-2b-it,ar_lsat,1024,0.217391,180,30,0.347826,0.166667,0.130435
gemma-2-2b-it,ar_lsat,2048,0.260870,170,33,0.404348,0.194118,0.143478
gemma-2-2b-it,asdiv,1024,0.803757,397,125,0.865546,0.314861,0.061789
gemma-2-2b-it,asdiv,2048,0.809689,385,122,0.869995,0.316883,0.060306
gemma-2-2b-it,gsm8k,1024,0.492798,669,149,0.605762,0.222720,0.112964
gemma-2-2b-it,gsm8k,2048,0.517058,637,119,0.607278,0.186813,0.090220
gemma-2-2b-it,sports,1024,0.835378,161,33,0.869121,0.204969,0.033742
gemma-2-2b-it,sports,2048,0.831288,165,43,0.875256,0.260606,0.043967
