model,dataset,max_tokens,file_type,source_file,missing_text_rows,n_rows,tokens_sum,tokens_mean,tokens_median,tokens_p95,tokens_min,tokens_max
DeepSeek-R1-0528-Qwen3-8B,aqua,1536,post_hint,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max1536/post_hint_inference.jsonl,0,7,14448.0,2064.0,1610.0,3880.399999999999,755.0,4268.0
DeepSeek-R1-0528-Qwen3-8B,aqua,2048,hints,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max2048/hints.jsonl,0,6,4508.0,751.3333333333334,45.5,2176.25,34.0,2181.0
DeepSeek-R1-0528-Qwen3-8B,aqua,2048,initial,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max2048/initial_inference.jsonl,0,254,494690.0,1947.5984251968505,2047.0,4710.15,213.0,6136.0
DeepSeek-R1-0528-Qwen3-8B,aqua,2048,post_hint,results/all_results/DeepSeek-R1-0528-Qwen3-8B/aqua/max2048/post_hint_inference.jsonl,0,6,8202.0,1367.0,1374.0,2143.5,367.0,2293.0
DeepSeek-R1-Distill-Llama-8B,aqua,256,hints,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max256/hints.jsonl,0,11,2826.0,256.90909090909093,256.0,261.0,256.0,264.0
DeepSeek-R1-Distill-Llama-8B,aqua,256,initial,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max256/initial_inference.jsonl,0,254,66379.0,261.3346456692913,256.0,454.94999999999993,60.0,749.0
DeepSeek-R1-Distill-Llama-8B,aqua,256,post_hint,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max256/post_hint_inference.jsonl,0,11,3036.0,276.0,256.0,557.0,26.0,656.0
DeepSeek-R1-Distill-Llama-8B,aqua,512,hints,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max512/hints.jsonl,0,19,6026.0,317.1578947368421,512.0,533.5999999999999,30.0,566.0
DeepSeek-R1-Distill-Llama-8B,aqua,512,initial,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max512/initial_inference.jsonl,0,254,126038.0,496.21259842519686,473.0,1404.35,37.0,1537.0
DeepSeek-R1-Distill-Llama-8B,aqua,512,post_hint,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max512/post_hint_inference.jsonl,0,19,7858.0,413.57894736842104,400.0,934.0999999999996,62.0,1106.0
DeepSeek-R1-Distill-Llama-8B,aqua,1024,hints,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max1024/hints.jsonl,0,30,7152.0,238.4,39.0,1039.0,25.0,1041.0
DeepSeek-R1-Distill-Llama-8B,aqua,1024,initial,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max1024/initial_inference.jsonl,0,254,177525.0,698.9173228346457,497.5,1932.0499999999997,51.0,3053.0
DeepSeek-R1-Distill-Llama-8B,aqua,1024,post_hint,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max1024/post_hint_inference.jsonl,0,30,17741.0,591.3666666666667,385.5,1987.5999999999997,78.0,2472.0
DeepSeek-R1-Distill-Llama-8B,aqua,1536,hints,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max1536/hints.jsonl,0,34,5995.0,176.3235294117647,37.0,1536.0,18.0,1781.0
DeepSeek-R1-Distill-Llama-8B,aqua,1536,initial,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max1536/initial_inference.jsonl,0,254,218959.0,862.0433070866142,475.5,2716.349999999999,59.0,4531.0
DeepSeek-R1-Distill-Llama-8B,aqua,1536,post_hint,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max1536/post_hint_inference.jsonl,0,34,34705.0,1020.7352941176471,763.0,2265.499999999999,95.0,2590.0
DeepSeek-R1-Distill-Llama-8B,aqua,2048,hints,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max2048/hints.jsonl,0,41,7737.0,188.70731707317074,40.0,2048.0,21.0,2073.0
DeepSeek-R1-Distill-Llama-8B,aqua,2048,initial,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max2048/initial_inference.jsonl,0,254,257077.0,1012.1141732283464,449.5,3885.2,85.0,5893.0
DeepSeek-R1-Distill-Llama-8B,aqua,2048,post_hint,results/all_results/DeepSeek-R1-Distill-Llama-8B/aqua/max2048/post_hint_inference.jsonl,0,41,72525.0,1768.9024390243903,1212.0,5648.0,123.0,6097.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,256,hints,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max256/hints.jsonl,0,6,1329.0,221.5,256.0,265.0,37.0,268.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,256,initial,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max256/initial_inference.jsonl,0,254,68116.0,268.1732283464567,256.0,256.0,77.0,768.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,256,post_hint,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max256/post_hint_inference.jsonl,0,6,1868.0,311.3333333333333,256.0,495.5,122.0,502.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,512,hints,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max512/hints.jsonl,0,17,4256.0,250.35294117647058,83.0,520.8,42.0,532.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,512,initial,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max512/initial_inference.jsonl,0,254,128058.0,504.1653543307087,511.0,1102.5499999999984,51.0,1535.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,512,post_hint,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max512/post_hint_inference.jsonl,0,17,8805.0,517.9411764705883,512.0,1077.3999999999999,90.0,1335.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1024,hints,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max1024/hints.jsonl,0,50,4953.0,99.06,61.0,108.49999999999997,14.0,1026.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1024,initial,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max1024/initial_inference.jsonl,0,254,209791.0,825.9488188976378,537.5,2542.9999999999995,83.0,3074.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1024,post_hint,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max1024/post_hint_inference.jsonl,0,50,35555.0,711.1,413.5,1902.3499999999992,86.0,2861.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1536,hints,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max1536/hints.jsonl,0,42,8644.0,205.8095238095238,68.5,1535.95,13.0,1553.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1536,initial,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max1536/initial_inference.jsonl,0,254,238821.0,940.2401574803149,549.0,2813.2,54.0,4446.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,1536,post_hint,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max1536/post_hint_inference.jsonl,0,42,48148.0,1146.3809523809523,955.5,2808.599999999999,175.0,3078.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,2048,hints,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max2048/hints.jsonl,0,58,11305.0,194.91379310344828,53.5,2047.15,19.0,2082.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,2048,initial,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max2048/initial_inference.jsonl,0,254,243000.0,956.6929133858267,541.0,3303.3999999999996,63.0,6092.0
DeepSeek-R1-Distill-Qwen-1.5B,aqua,2048,post_hint,results/all_results/DeepSeek-R1-Distill-Qwen-1.5B/aqua/max2048/post_hint_inference.jsonl,0,58,76993.0,1327.4655172413793,829.5,3474.399999999999,99.0,4951.0
Meta-Llama-3.1-8B-Instruct,aqua,256,hints,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max256/hints.jsonl,0,37,1612.0,43.567567567567565,40.0,67.6,26.0,75.0
Meta-Llama-3.1-8B-Instruct,aqua,256,initial,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max256/initial_inference.jsonl,0,254,48943.0,192.68897637795277,181.0,286.2999999999999,50.0,761.0
Meta-Llama-3.1-8B-Instruct,aqua,256,post_hint,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max256/post_hint_inference.jsonl,0,37,8040.0,217.2972972972973,237.0,256.0,94.0,468.0
Meta-Llama-3.1-8B-Instruct,aqua,512,hints,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max512/hints.jsonl,0,54,2678.0,49.592592592592595,47.5,76.04999999999998,28.0,91.0
Meta-Llama-3.1-8B-Instruct,aqua,512,initial,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max512/initial_inference.jsonl,0,254,66747.0,262.7834645669291,177.0,512.0,36.0,1419.0
Meta-Llama-3.1-8B-Instruct,aqua,512,post_hint,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max512/post_hint_inference.jsonl,0,54,14738.0,272.9259259259259,210.0,512.0,53.0,1155.0
Meta-Llama-3.1-8B-Instruct,aqua,1024,hints,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max1024/hints.jsonl,0,69,3160.0,45.79710144927536,45.0,69.6,14.0,94.0
Meta-Llama-3.1-8B-Instruct,aqua,1024,initial,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max1024/initial_inference.jsonl,0,254,99954.0,393.5196850393701,157.0,1176.9499999999996,48.0,3074.0
Meta-Llama-3.1-8B-Instruct,aqua,1024,post_hint,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max1024/post_hint_inference.jsonl,0,69,29324.0,424.9855072463768,229.0,1052.4,57.0,2169.0
Meta-Llama-3.1-8B-Instruct,aqua,1536,hints,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max1536/hints.jsonl,0,65,3173.0,48.815384615384616,43.0,74.8,25.0,84.0
Meta-Llama-3.1-8B-Instruct,aqua,1536,initial,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max1536/initial_inference.jsonl,0,254,113617.0,447.31102362204723,178.5,1536.0,49.0,3355.0
Meta-Llama-3.1-8B-Instruct,aqua,1536,post_hint,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max1536/post_hint_inference.jsonl,0,65,44417.0,683.3384615384615,289.0,1676.3999999999996,57.0,3653.0
Meta-Llama-3.1-8B-Instruct,aqua,2048,hints,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max2048/hints.jsonl,0,63,2976.0,47.23809523809524,45.0,72.9,25.0,100.0
Meta-Llama-3.1-8B-Instruct,aqua,2048,initial,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max2048/initial_inference.jsonl,0,254,145606.0,573.2519685039371,179.0,2048.0,48.0,4622.0
Meta-Llama-3.1-8B-Instruct,aqua,2048,post_hint,results/all_results/Meta-Llama-3.1-8B-Instruct/aqua/max2048/post_hint_inference.jsonl,0,63,39616.0,628.8253968253969,227.0,2048.0,48.0,2292.0
Phi-4-mini-instruct,aqua,256,hints,results/all_results/Phi-4-mini-instruct/aqua/max256/hints.jsonl,0,93,3519.0,37.83870967741935,33.0,63.0,13.0,254.0
Phi-4-mini-instruct,aqua,256,initial,results/all_results/Phi-4-mini-instruct/aqua/max256/initial_inference.jsonl,0,254,68109.0,268.1456692913386,245.0,510.0,49.0,511.0
Phi-4-mini-instruct,aqua,256,post_hint,results/all_results/Phi-4-mini-instruct/aqua/max256/post_hint_inference.jsonl,0,93,27513.0,295.83870967741933,253.0,510.0,51.0,511.0
Phi-4-mini-instruct,aqua,512,hints,results/all_results/Phi-4-mini-instruct/aqua/max512/hints.jsonl,0,69,2372.0,34.3768115942029,32.0,61.19999999999996,1.0,113.0
Phi-4-mini-instruct,aqua,512,initial,results/all_results/Phi-4-mini-instruct/aqua/max512/initial_inference.jsonl,0,254,89082.0,350.7165354330709,238.5,1016.0,40.0,1481.0
Phi-4-mini-instruct,aqua,512,post_hint,results/all_results/Phi-4-mini-instruct/aqua/max512/post_hint_inference.jsonl,0,69,32325.0,468.4782608695652,506.0,1019.2,64.0,1020.0
Phi-4-mini-instruct,aqua,1024,hints,results/all_results/Phi-4-mini-instruct/aqua/max1024/hints.jsonl,0,75,2983.0,39.77333333333333,35.0,72.6,15.0,185.0
Phi-4-mini-instruct,aqua,1024,initial,results/all_results/Phi-4-mini-instruct/aqua/max1024/initial_inference.jsonl,0,254,137794.0,542.496062992126,245.0,1021.35,40.0,2044.0
Phi-4-mini-instruct,aqua,1024,post_hint,results/all_results/Phi-4-mini-instruct/aqua/max1024/post_hint_inference.jsonl,0,75,57395.0,765.2666666666667,1005.0,1318.8999999999971,69.0,2045.0
Phi-4-mini-instruct,aqua,1536,initial,results/all_results/Phi-4-mini-instruct/aqua/max1536/initial_inference.jsonl,0,254,196133.0,772.1771653543307,228.5,1531.35,48.0,3055.0
Phi-4-mini-instruct,aqua,2048,initial,results/all_results/Phi-4-mini-instruct/aqua/max2048/initial_inference.jsonl,0,254,246011.0,968.5472440944882,226.0,2042.0,41.0,4073.0
Phi-4-mini-reasoning,aqua,256,hints,results/all_results/Phi-4-mini-reasoning/aqua/max256/hints.jsonl,0,20,5142.0,257.1,256.0,263.15,255.0,266.0
Phi-4-mini-reasoning,aqua,256,initial,results/all_results/Phi-4-mini-reasoning/aqua/max256/initial_inference.jsonl,0,254,76558.0,301.40944881889766,256.0,768.0,255.0,770.0
Phi-4-mini-reasoning,aqua,256,post_hint,results/all_results/Phi-4-mini-reasoning/aqua/max256/post_hint_inference.jsonl,0,20,5376.0,268.8,256.0,268.8500000000002,255.0,513.0
Phi-4-mini-reasoning,aqua,512,hints,results/all_results/Phi-4-mini-reasoning/aqua/max512/hints.jsonl,0,23,10425.0,453.2608695652174,512.0,524.5,29.0,527.0
Phi-4-mini-reasoning,aqua,512,initial,results/all_results/Phi-4-mini-reasoning/aqua/max512/initial_inference.jsonl,0,254,150985.0,594.4291338582677,512.0,1535.35,509.0,1538.0
Phi-4-mini-reasoning,aqua,512,post_hint,results/all_results/Phi-4-mini-reasoning/aqua/max512/post_hint_inference.jsonl,0,23,12286.0,534.1739130434783,512.0,512.9,511.0,1024.0
Phi-4-mini-reasoning,aqua,1024,hints,results/all_results/Phi-4-mini-reasoning/aqua/max1024/hints.jsonl,0,19,16750.0,881.578947368421,1024.0,1057.8,38.0,1083.0
Phi-4-mini-reasoning,aqua,1024,initial,results/all_results/Phi-4-mini-reasoning/aqua/max1024/initial_inference.jsonl,0,254,286263.0,1127.0196850393702,1022.0,2048.0,1014.0,3074.0
Qwen2.5-Math-1.5B-instruct,aqua,256,hints,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max256/hints.jsonl,0,20,4753.0,237.65,256.0,258.5,43.0,268.0
Qwen2.5-Math-1.5B-instruct,aqua,256,initial,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max256/initial_inference.jsonl,0,254,71168.0,280.18897637795277,256.0,540.7,65.0,770.0
Qwen2.5-Math-1.5B-instruct,aqua,256,post_hint,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max256/post_hint_inference.jsonl,0,20,6234.0,311.7,256.0,770.0,44.0,770.0
Qwen2.5-Math-1.5B-instruct,aqua,512,hints,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max512/hints.jsonl,0,41,17755.0,433.0487804878049,512.0,522.0,41.0,535.0
Qwen2.5-Math-1.5B-instruct,aqua,512,initial,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max512/initial_inference.jsonl,0,254,103520.0,407.5590551181102,353.5,895.9999999999998,25.0,1537.0
Qwen2.5-Math-1.5B-instruct,aqua,512,post_hint,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max512/post_hint_inference.jsonl,0,41,18581.0,453.1951219512195,511.0,1141.0,24.0,1536.0
Qwen2.5-Math-1.5B-instruct,aqua,1024,hints,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max1024/hints.jsonl,0,56,32675.0,583.4821428571429,480.0,1038.0,24.0,1176.0
Qwen2.5-Math-1.5B-instruct,aqua,1024,initial,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max1024/initial_inference.jsonl,0,254,113963.0,448.6732283464567,384.0,853.7,31.0,2902.0
Qwen2.5-Math-1.5B-instruct,aqua,1024,post_hint,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max1024/post_hint_inference.jsonl,0,56,40045.0,715.0892857142857,996.5,1024.0,24.0,1617.0
Qwen2.5-Math-1.5B-instruct,aqua,1536,hints,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max1536/hints.jsonl,0,67,67292.0,1004.3582089552239,1535.0,1560.7,24.0,1791.0
Qwen2.5-Math-1.5B-instruct,aqua,1536,initial,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max1536/initial_inference.jsonl,0,254,115786.0,455.8503937007874,366.0,923.8499999999998,27.0,3073.0
Qwen2.5-Math-1.5B-instruct,aqua,1536,post_hint,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max1536/post_hint_inference.jsonl,0,67,70151.0,1047.0298507462687,1513.0,1536.0,30.0,3654.0
Qwen2.5-Math-1.5B-instruct,aqua,2048,hints,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max2048/hints.jsonl,0,59,60094.0,1018.542372881356,555.0,2117.0,45.0,2513.0
Qwen2.5-Math-1.5B-instruct,aqua,2048,initial,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max2048/initial_inference.jsonl,0,254,116291.0,457.83858267716533,386.5,904.9999999999999,112.0,2073.0
Qwen2.5-Math-1.5B-instruct,aqua,2048,post_hint,results/all_results/Qwen2.5-Math-1.5B-instruct/aqua/max2048/post_hint_inference.jsonl,0,59,79250.0,1343.2203389830509,2046.0,2048.0,25.0,4094.0
Qwen2.5-Math-7B-instruct,aqua,256,hints,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max256/hints.jsonl,0,89,23223.0,260.9325842696629,256.0,270.6,255.0,314.0
Qwen2.5-Math-7B-instruct,aqua,256,initial,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max256/initial_inference.jsonl,0,254,97637.0,384.3976377952756,292.5,768.0,115.0,781.0
Qwen2.5-Math-7B-instruct,aqua,256,post_hint,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max256/post_hint_inference.jsonl,0,89,29077.0,326.70786516853934,266.0,673.399999999999,26.0,780.0
Qwen2.5-Math-7B-instruct,aqua,512,hints,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max512/hints.jsonl,0,41,18420.0,449.2682926829268,512.0,541.0,26.0,598.0
Qwen2.5-Math-7B-instruct,aqua,512,initial,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max512/initial_inference.jsonl,0,254,118534.0,466.6692913385827,391.0,1039.05,102.0,1538.0
Qwen2.5-Math-7B-instruct,aqua,512,post_hint,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max512/post_hint_inference.jsonl,0,41,22437.0,547.2439024390244,528.0,1042.0,35.0,1049.0
Qwen2.5-Math-7B-instruct,aqua,1024,hints,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max1024/hints.jsonl,0,32,21475.0,671.09375,634.5,1072.6,27.0,1350.0
Qwen2.5-Math-7B-instruct,aqua,1024,initial,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max1024/initial_inference.jsonl,0,254,125835.0,495.4133858267717,403.0,1063.0,116.0,1100.0
Qwen2.5-Math-7B-instruct,aqua,1024,post_hint,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max1024/post_hint_inference.jsonl,0,32,27360.0,855.0,1057.0,1071.45,47.0,1497.0
Qwen2.5-Math-7B-instruct,aqua,1536,hints,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max1536/hints.jsonl,0,37,38711.0,1046.2432432432433,935.0,1605.8,140.0,1824.0
Qwen2.5-Math-7B-instruct,aqua,1536,initial,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max1536/initial_inference.jsonl,0,254,137323.0,540.6417322834645,375.0,1594.35,124.0,1609.0
Qwen2.5-Math-7B-instruct,aqua,1536,post_hint,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max1536/post_hint_inference.jsonl,0,37,43202.0,1167.6216216216217,1575.0,1594.6,48.0,1601.0
Qwen2.5-Math-7B-instruct,aqua,2048,hints,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max2048/hints.jsonl,0,34,51377.0,1511.0882352941176,2096.0,2127.35,44.0,2160.0
Qwen2.5-Math-7B-instruct,aqua,2048,initial,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max2048/initial_inference.jsonl,0,254,157217.0,618.9645669291339,385.0,2115.0,120.0,2134.0
Qwen2.5-Math-7B-instruct,aqua,2048,post_hint,results/all_results/Qwen2.5-Math-7B-instruct/aqua/max2048/post_hint_inference.jsonl,0,34,53002.0,1558.8823529411766,2094.0,2124.4,51.0,2127.0
gemma-2-2b-it,aqua,256,hints,results/all_results/gemma-2-2b-it/aqua/max256/hints.jsonl,0,157,6099.0,38.847133757961785,38.0,59.19999999999999,15.0,68.0
gemma-2-2b-it,aqua,256,initial,results/all_results/gemma-2-2b-it/aqua/max256/initial_inference.jsonl,0,254,32465.0,127.81496062992126,114.5,257.3499999999999,26.0,291.0
gemma-2-2b-it,aqua,256,post_hint,results/all_results/gemma-2-2b-it/aqua/max256/post_hint_inference.jsonl,0,157,23159.0,147.5095541401274,139.0,274.0,34.0,296.0
gemma-2-2b-it,aqua,512,hints,results/all_results/gemma-2-2b-it/aqua/max512/hints.jsonl,0,161,6200.0,38.50931677018634,37.0,57.0,15.0,89.0
gemma-2-2b-it,aqua,512,initial,results/all_results/gemma-2-2b-it/aqua/max512/initial_inference.jsonl,0,254,38122.0,150.08661417322836,117.0,524.4,28.0,534.0
gemma-2-2b-it,aqua,512,post_hint,results/all_results/gemma-2-2b-it/aqua/max512/post_hint_inference.jsonl,0,161,25135.0,156.11801242236024,127.0,314.0,36.0,1018.0
gemma-2-2b-it,aqua,1024,hints,results/all_results/gemma-2-2b-it/aqua/max1024/hints.jsonl,0,145,5683.0,39.19310344827586,38.0,64.0,16.0,76.0
gemma-2-2b-it,aqua,1024,initial,results/all_results/gemma-2-2b-it/aqua/max1024/initial_inference.jsonl,0,254,40990.0,161.3779527559055,120.0,289.9999999999999,25.0,1068.0
gemma-2-2b-it,aqua,1024,post_hint,results/all_results/gemma-2-2b-it/aqua/max1024/post_hint_inference.jsonl,0,145,23740.0,163.72413793103448,129.0,319.1999999999998,30.0,1045.0
gemma-2-2b-it,aqua,1536,hints,results/all_results/gemma-2-2b-it/aqua/max1536/hints.jsonl,0,158,6110.0,38.67088607594937,36.5,60.0,17.0,78.0
gemma-2-2b-it,aqua,1536,initial,results/all_results/gemma-2-2b-it/aqua/max1536/initial_inference.jsonl,0,254,43104.0,169.70078740157481,117.5,366.7,25.0,1565.0
gemma-2-2b-it,aqua,1536,post_hint,results/all_results/gemma-2-2b-it/aqua/max1536/post_hint_inference.jsonl,0,158,28851.0,182.6012658227848,140.0,332.1000000000002,43.0,1585.0
gemma-2-2b-it,aqua,2048,hints,results/all_results/gemma-2-2b-it/aqua/max2048/hints.jsonl,0,165,6434.0,38.99393939393939,38.0,61.0,18.0,89.0
gemma-2-2b-it,aqua,2048,initial,results/all_results/gemma-2-2b-it/aqua/max2048/initial_inference.jsonl,0,254,59863.0,235.6811023622047,122.0,2064.0,34.0,2126.0
gemma-2-2b-it,aqua,2048,post_hint,results/all_results/gemma-2-2b-it/aqua/max2048/post_hint_inference.jsonl,0,165,38391.0,232.6727272727273,126.0,412.79999999999893,35.0,2073.0
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,256,hints,results/all_results/DeepSeek-R1-0528-Qwen3-8B/ar_lsat/max256/hints.jsonl,0,39,9821.0,251.82051282051282,258.0,264.0,1.0,269.0
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,256,initial,results/all_results/DeepSeek-R1-0528-Qwen3-8B/ar_lsat/max256/initial_inference.jsonl,0,230,68612.0,298.31304347826085,256.0,557.5999999999995,254.0,770.0
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,256,post_hint,results/all_results/DeepSeek-R1-0528-Qwen3-8B/ar_lsat/max256/post_hint_inference.jsonl,0,39,11365.0,291.4102564102564,256.0,512.1,106.0,513.0
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,512,hints,results/all_results/DeepSeek-R1-0528-Qwen3-8B/ar_lsat/max512/hints.jsonl,0,42,17556.0,418.0,516.0,533.0,1.0,562.0
DeepSeek-R1-0528-Qwen3-8B,ar_lsat,512,initial,results/all_results/DeepSeek-R1-0528-Qwen3-8B/ar_lsat/max512/initial_inference.jsonl,0,230,142028.0,617.5130434782609,512.0,1526.8999999999996,511.0,1538.0
